Metric,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Device,SA8255 (Proxy),SA8255 (Proxy),SA8255 (Proxy),SA8255 (Proxy),SA8255 (Proxy),SA8255 (Proxy),SA8255 (Proxy),SA8255 (Proxy),SA8255 (Proxy),SA8255 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),SA8650 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS8550 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),QCS9075 (Proxy),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Google Pixel 5 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S21 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S23 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy S24 (Family),Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Samsung Galaxy Tab S8,Snapdragon 8 Elite QRD,Snapdragon 8 Elite QRD,Snapdragon 8 Elite QRD
Chipset,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8255P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm SA8650P,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS8550,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Qualcomm QCS9075,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 765G | SM7250,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 888 | SM8350,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 2 | SM8550,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 3 | SM8650,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Gen 1 | SM8450,Snapdragon 8 Elite | SM8750,Snapdragon 8 Elite | SM8750,Snapdragon 8 Elite | SM8750
OS,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 13,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 12,Android 15,Android 15,Android 15
Model,DETR-ResNet101,DETR-ResNet50,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Yolo-v8-Quantized,Yolo-v11-Quantized,Conditional-DETR-ResNet50,DETR-ResNet101,DETR-ResNet50,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Yolo-v8-Quantized,Yolo-v11-Quantized,Conditional-DETR-ResNet50,DETR-ResNet101,DETR-ResNet50,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Yolo-v8-Quantized,Yolo-v11-Quantized,Conditional-DETR-ResNet50,DETR-ResNet101,DETR-ResNet50,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Yolo-v8-Quantized,Yolo-v11-Quantized,Conditional-DETR-ResNet50,DETR-ResNet101,DETR-ResNet101-DC5,DETR-ResNet50,DETR-ResNet50-DC5,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Conditional-DETR-ResNet50,DETR-ResNet101,DETR-ResNet50,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Yolo-v8-Quantized,Yolo-v11-Quantized,Conditional-DETR-ResNet50,DETR-ResNet101,DETR-ResNet101-DC5,DETR-ResNet50,DETR-ResNet50-DC5,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Conditional-DETR-ResNet50,DETR-ResNet101,DETR-ResNet101-DC5,DETR-ResNet50,DETR-ResNet50-DC5,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Yolo-v8-Quantized,Yolo-v11-Quantized,Conditional-DETR-ResNet50,DETR-ResNet50,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Yolo-v8-Quantized,Yolo-v11-Quantized,Conditional-DETR-ResNet50,DETR-ResNet101,DETR-ResNet101-DC5,DETR-ResNet50,DETR-ResNet50-DC5,Yolo-v3,Yolo-v6,Yolo-v7,Yolo-v8,Yolo-v10,Yolo-v11,Yolo-v7-Quantized,Yolo-v8-Quantized,Yolo-v11-Quantized
Runtime,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite,tflite
AP,0.34,0.329,0.34,0.333,0.332,0.359,0.359,0.299,0.268,0.285,0.292,0.34,0.329,0.153,0.34,0.333,0.332,0.359,0.359,0.299,0.268,0.285,0.292,0.34,0.287,0.153,0.34,0.333,0.332,0.359,0.359,0.299,0.268,0.285,0.291,0.34,0.329,0.153,0.34,0.333,0.332,0.359,0.359,0.298,0.267,0.289,0.291,0.34,0.362,0.33,0.32,0.153,0.34,0.335,0.333,0.215,0.145,0.292,0.291,0.34,0.33,0.153,0.34,0.335,0.333,0.352,0.359,0.292,0.269,0.275,0.292,0.34,0.361,0.329,0.353,0.153,0.343,0.335,0.336,0.362,0.36,0.292,0.34,0.362,0.329,0.353,0.153,0.339,0.333,0.332,0.359,0.359,0.299,0.268,0.285,0.291,0.329,0.153,0.34,0.335,0.333,0.359,0.359,0.294,0.266,0.289,0.292,0.34,0.362,0.33,0.354,0.153,0.343,0.335,0.335,0.362,0.36,0.296,0.27,0.289
AP@.5,0.529,0.515,0.49,0.501,0.478,0.51,0.514,0.486,0.444,0.472,0.466,0.529,0.515,0.343,0.49,0.501,0.478,0.51,0.514,0.486,0.444,0.472,0.466,0.529,0.449,0.343,0.49,0.501,0.478,0.51,0.514,0.486,0.444,0.472,0.465,0.529,0.515,0.343,0.49,0.501,0.478,0.51,0.514,0.488,0.442,0.476,0.466,0.529,0.549,0.516,0.487,0.343,0.49,0.503,0.48,0.315,0.219,0.481,0.466,0.529,0.516,0.344,0.49,0.503,0.48,0.502,0.514,0.481,0.447,0.454,0.466,0.529,0.549,0.515,0.54,0.344,0.495,0.504,0.483,0.514,0.516,0.465,0.529,0.549,0.516,0.539,0.343,0.49,0.501,0.478,0.51,0.514,0.486,0.444,0.472,0.465,0.515,0.343,0.49,0.503,0.479,0.511,0.514,0.484,0.441,0.475,0.466,0.53,0.549,0.516,0.54,0.344,0.495,0.504,0.484,0.514,0.516,0.486,0.45,0.476
AP@.75,0.354,0.339,0.365,0.359,0.357,0.383,0.384,0.321,0.284,0.299,0.302,0.354,0.339,0.113,0.365,0.359,0.357,0.383,0.384,0.321,0.284,0.299,0.302,0.354,0.296,0.113,0.365,0.359,0.357,0.383,0.384,0.321,0.284,0.299,0.302,0.355,0.339,0.113,0.365,0.358,0.357,0.383,0.384,0.318,0.281,0.302,0.302,0.355,0.378,0.339,0.334,0.113,0.365,0.361,0.359,0.23,0.155,0.31,0.301,0.355,0.339,0.112,0.366,0.361,0.359,0.376,0.384,0.311,0.283,0.288,0.302,0.354,0.377,0.339,0.368,0.113,0.369,0.362,0.36,0.387,0.386,0.302,0.354,0.378,0.339,0.369,0.112,0.365,0.359,0.357,0.383,0.385,0.321,0.284,0.299,0.302,0.339,0.113,0.365,0.36,0.358,0.383,0.384,0.313,0.279,0.302,0.302,0.356,0.377,0.34,0.369,0.113,0.369,0.362,0.36,0.387,0.386,0.313,0.281,0.303
AP small,0.1,0.098,0.153,0.172,0.164,0.181,0.186,0.134,0.107,0.114,0.077,0.1,0.098,0.087,0.153,0.172,0.164,0.181,0.186,0.134,0.107,0.114,0.077,0.1,0.085,0.087,0.153,0.172,0.164,0.181,0.186,0.134,0.107,0.114,0.076,0.1,0.098,0.087,0.154,0.171,0.164,0.179,0.186,0.132,0.106,0.116,0.077,0.1,0.121,0.099,0.108,0.087,0.153,0.172,0.164,0.101,0.067,0.128,0.077,0.099,0.098,0.088,0.153,0.172,0.164,0.178,0.188,0.13,0.106,0.11,0.077,0.1,0.121,0.098,0.121,0.088,0.155,0.171,0.167,0.182,0.191,0.077,0.1,0.121,0.098,0.122,0.087,0.153,0.172,0.163,0.181,0.186,0.134,0.107,0.114,0.076,0.097,0.087,0.153,0.172,0.161,0.18,0.187,0.132,0.106,0.112,0.076,0.1,0.122,0.099,0.122,0.088,0.155,0.171,0.167,0.186,0.192,0.13,0.103,0.116
AP medium,0.361,0.346,0.377,0.376,0.366,0.398,0.392,0.338,0.289,0.3,0.306,0.361,0.346,0.202,0.377,0.376,0.366,0.398,0.392,0.338,0.289,0.3,0.306,0.361,0.306,0.202,0.377,0.376,0.366,0.398,0.392,0.338,0.289,0.3,0.306,0.361,0.346,0.202,0.377,0.376,0.366,0.398,0.392,0.335,0.288,0.308,0.306,0.362,0.396,0.347,0.345,0.202,0.377,0.378,0.368,0.238,0.147,0.333,0.306,0.362,0.347,0.203,0.377,0.378,0.367,0.393,0.39,0.333,0.288,0.29,0.306,0.361,0.395,0.346,0.377,0.202,0.381,0.38,0.368,0.402,0.393,0.306,0.361,0.396,0.346,0.378,0.202,0.377,0.376,0.366,0.398,0.392,0.338,0.289,0.3,0.306,0.346,0.202,0.377,0.378,0.367,0.399,0.39,0.332,0.286,0.307,0.307,0.362,0.395,0.347,0.378,0.202,0.381,0.38,0.368,0.401,0.393,0.337,0.292,0.304
AP large,0.582,0.567,0.47,0.445,0.448,0.486,0.508,0.414,0.389,0.437,0.511,0.582,0.567,0.172,0.47,0.445,0.448,0.486,0.508,0.414,0.389,0.437,0.511,0.582,0.497,0.172,0.47,0.445,0.448,0.486,0.508,0.414,0.389,0.437,0.511,0.582,0.567,0.172,0.47,0.445,0.448,0.486,0.508,0.42,0.394,0.44,0.511,0.581,0.592,0.567,0.524,0.172,0.47,0.447,0.449,0.283,0.208,0.405,0.512,0.581,0.566,0.173,0.47,0.447,0.449,0.475,0.509,0.408,0.394,0.421,0.511,0.582,0.592,0.567,0.578,0.172,0.472,0.443,0.45,0.491,0.51,0.511,0.581,0.593,0.567,0.578,0.172,0.47,0.445,0.448,0.486,0.509,0.414,0.389,0.437,0.512,0.567,0.172,0.47,0.448,0.449,0.486,0.509,0.413,0.392,0.442,0.511,0.581,0.592,0.567,0.578,0.172,0.472,0.443,0.45,0.491,0.51,0.412,0.398,0.447
AR,0.29,0.285,0.281,0.277,0.279,0.289,0.289,0.253,0.236,0.242,0.269,0.29,0.285,0.143,0.281,0.277,0.279,0.289,0.289,0.253,0.236,0.242,0.269,0.29,0.257,0.143,0.281,0.277,0.279,0.289,0.289,0.253,0.236,0.242,0.268,0.291,0.285,0.143,0.281,0.277,0.279,0.289,0.289,0.254,0.235,0.243,0.268,0.29,0.305,0.285,0.271,0.143,0.281,0.279,0.28,0.213,0.161,0.249,0.268,0.291,0.285,0.143,0.282,0.279,0.28,0.285,0.29,0.249,0.236,0.235,0.269,0.29,0.305,0.285,0.301,0.144,0.283,0.277,0.281,0.291,0.289,0.268,0.29,0.305,0.285,0.301,0.143,0.281,0.277,0.279,0.289,0.289,0.253,0.236,0.242,0.268,0.285,0.143,0.281,0.279,0.279,0.289,0.288,0.249,0.234,0.242,0.268,0.291,0.305,0.285,0.301,0.144,0.283,0.277,0.281,0.291,0.289,0.252,0.237,0.244
