Metric,Value,Value,Value,Value,Value,Value
Device,Samsung Galaxy S24 Ultra,Samsung Galaxy S24 Ultra,Samsung Galaxy S24 Ultra,Samsung Galaxy S24 Ultra,Samsung Galaxy S24+,Samsung Galaxy S24
OS,Android 14,Android 14,Android 14,Android 14,Android 14,Android 14
Model,DETR-ResNet101,DETR-ResNet50-DC5,DETR-ResNet50,DETR-ResNet101-DC5,DETR-ResNet50-DC5,DETR-ResNet50-DC5
Runtime,tflite,tflite,tflite,tflite,tflite,tflite
AP,0.34,0.353,0.329,0.362,0.353,0.353
AP@.5,0.529,0.539,0.516,0.549,0.539,0.539
AP@.75,0.354,0.369,0.339,0.378,0.369,0.369
AP small,0.1,0.122,0.098,0.121,0.122,0.122
AP medium,0.361,0.378,0.346,0.396,0.378,0.378
AP large,0.581,0.578,0.567,0.593,0.578,0.578
AR,0.29,0.301,0.285,0.305,0.301,0.301
AR@.5,0.444,0.465,0.433,0.471,0.465,0.465
AR@.75,0.477,0.501,0.467,0.508,0.501,0.501
AR small,0.173,0.203,0.168,0.208,0.203,0.203
AR medium,0.518,0.549,0.508,0.561,0.549,0.549
AR large,0.775,0.779,0.761,0.781,0.779,0.779
Inference Time,9.4,54.8,6.4,57.1,55.4,56.6
Min Memory,0,0,0,0,0,0
Peak Memory,193,649,147,698,647,647
Compute Units,856,789,788,857,789,789
